CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL209466	370.89	3.5	97.11	CNC(=O)Nc1snc(SC(C)c2ccc(Cl)cc2)c1C(=O)N	IC50	3	nM
CHEMBL2151321	381.42	3.64	93.54	CC(C)Oc1cc(n[nH]1)n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc23	IC50	3	nM
CHEMBL3661606	498.47	3.39	136.02	CC(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	3.03	nM
CHEMBL3675966	380.43	2.89	75.42	CC1(CC1)NC(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cncc(F)c5	IC50	3.2	nM
CHEMBL3675987	394.45	3.13	75.42	CC(NC(=O)c1cnn2ccc(nc12)N3CCCC3c4cncc(F)c4)C5CC5	IC50	3.2	nM
CHEMBL3671152	455.47	2.1	94.87	Fc1ccc(F)c(c1)[C@H]2CCCN2c3ccn4ncc(C(=O)NCCN5CCNC5=O)c4n3	IC50	3.6	nM
CHEMBL3661616	497.48	3.98	110	CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cncnc14	IC50	3.61	nM
CHEMBL3984317	532.39	6.16	121.08	Cc1n[nH]cc1N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	3.925	nM
CHEMBL3671405	508.38	3.73	128.68	CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Br)cn3)c2)c4cnc(N)nc14	IC50	3.93	nM
CHEMBL3916029	636.74	6.59	139.88	CC(C)(C)c1cc(NC(=Nc2cnc(Oc3ccc(cc3)c4cnc(s4)N5CCCC5=O)nc2)O)n(n1)c6ccc7OCCc7c6	IC50	4	nM
CHEMBL3890123	668.48	7.81	136.36	Nc1ncc(cc1c2ccc(Oc3ncc(cn3)N=C(O)Nc4cc(ccc4n5ccc(n5)C(F)(F)F)C(F)(F)F)cc2)C(F)(F)F	IC50	4	nM
CHEMBL3962859	510.36	6.1	92.4	OC(=NC1CC1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	4.02	nM
CHEMBL3661462	467.45	4.84	89.77	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C(F)(F)F)c2)c4cncnc14	IC50	4.15	nM
CHEMBL3675927	427.48	2.2	102.99	CC(C)(O)CNC(=O)c1cnn2ccc(nc12)N3CCCC3c4cc(F)ccc4CO	IC50	4.2	nM
CHEMBL3676030	483.55	1.8	108.12	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC5CCN(CCO)CC5)c4n3	IC50	4.3	nM
CHEMBL3671402	495.46	3.74	110	OCC1(CC1)n2cc(C(=O)c3cncc(NC(=O)Cc4ccc(cc4)C(F)(F)F)c3)c5cncnc25	IC50	4.53	nM
CHEMBL3671398	453.51	3.45	139.58	CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C#N)c2)c4cnc(N)nc14	IC50	4.57	nM
CHEMBL3965319	562.39	5.93	118.18	OC(=NCc1ccncn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	4.68	nM
CHEMBL3666249	482.47	4.42	115.79	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	4.7	nM
CHEMBL3903947	547.41	5.13	123.11	Cn1cc(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5)nn1	IC50	4.92	nM
CHEMBL3661492	434.89	3.87	102.66	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cn3)c2)c4cncnc14	IC50	5.16	nM
CHEMBL3661490	471.44	3.8	107.59	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3nc(cc3C)C(F)(F)F)c2)c4cncnc14	IC50	5.45	nM
CHEMBL3952110	464.48	5.02	87.28	COc1ccc(NC(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O)cc1	IC50	5.5	nM
CHEMBL3676082	383.43	2.32	82.76	CC(C)NC(=O)c1cnn2ccc(nc12)N3C[C@@H](O)C[C@@H]3c4cccc(F)c4	IC50	5.8	nM
CHEMBL3889897	540.38	5.46	112.63	O[C@@H]1C[C@@H](C1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	5.83	nM
CHEMBL3937255	562.39	5.93	118.18	OC(=NCc1cnccn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	5.97	nM
CHEMBL3659501	395.44	4.03	93.54	CC[C@H](Nc1ccc2ncn(c3cc(OC(C)C)[nH]n3)c2n1)c4ccc(F)cn4	IC50	6	nM
CHEMBL3675963	433.42	1.36	112.22	OC[C@H](O)CONC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	6.13	nM
CHEMBL3639748	411.46	4.02	62.53	CC1(C)CC[C@@H](N1c2ccn3ncc(C(=O)NC4CC4)c3n2)c5cc(F)ccc5F	IC50	6.6	nM
CHEMBL3678289	459.51	2.79	117.54	COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)C#CCCO)cc2OC)cn1	IC50	7	nM
CHEMBL211095	362.48	3.29	111.1	NC(=O)Nc1snc(S[C@@H]2CCCCc3ccccc23)c1C(=O)N	IC50	7	nM
CHEMBL3298268	468.53	3.04	121.23	CC(C)(C)c1cc(NC(=O)Cn2cc(nn2)c3ccc(nc3)n4ccnc4)n(n1)c5cccnc5	IC50	7	nM
CHEMBL3676008	390.37	2.6	75.42	FC(F)CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cncc(F)c4	IC50	7.4	nM
CHEMBL3676052	382.44	3.05	75.42	CC(C)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)cnc4C	IC50	7.4	nM
CHEMBL3950417	415.44	3.96	86.25	CC(C)(CO)C(=Nc1cnn2ccc(nc12)N3CCC[C@H]3c4cc(F)ccc4F)O	IC50	7.5	nM
CHEMBL3661502	440.47	3.02	120.48	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3nc4ccccc4n3)c2)c5cncnc15	IC50	7.63	nM
CHEMBL3956444	533.38	5.99	118.43	OC(=NCc1cocn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	7.64	nM
CHEMBL3676079	410.45	2.25	95.65	CC1(CC1)NC(=O)c2cnn3ccc(nc23)N4[C@H](CO)CC[C@@H]4c5cncc(F)c5	IC50	8.6	nM
CHEMBL254555	437.5	4.98	83.22	C[C@H](OC(=O)NCC=C)[C@H]1c2ccccc2c3c1c4[nH]c5ccccc5c4c6CNC(=O)c36	IC50	9	nM
CHEMBL3661627	513.48	2.96	130.23	CC(CO)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cncnc14	IC50	9.36	nM
CHEMBL2113063	423.47	4.5	68.42	C[C@]1(O)C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	IC50	10	nM
CHEMBL3897755	593.59	7.11	129.9	CCN=C1NC=C(S1)c2ccc(Oc3ncc(cn3)N=C(O)Nc4cc(cnc4Oc5ccccc5)C(F)(F)F)cc2	IC50	10	nM
CHEMBL3940829	540.38	5.54	101.63	OC(=NCC1(F)COC1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	10.1	nM
CHEMBL3977792	510.38	5.18	112.63	CC(CO)N=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	10.2	nM
CHEMBL3976580	555.4	4.66	127.65	NC1(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5)COC1	IC50	10.6	nM
CHEMBL3964869	457.42	4.14	111.08	CC(C)n1cc(C(=O)c2ccnc(c2)N=C(O)Cn3cc(nn3)C(F)(F)F)c4cnccc14	IC50	10.7	nM
CHEMBL3953642	557.39	4.75	106.14	N[C@H]1CN(C[C@@H]1F)C(=O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	10.8	nM
CHEMBL3899253	496.49	5.24	100.6	CC(C)(CO)n1cc(C(=O)c2cc(ccn2)N=C(O)Cc3cccc(c3)C(F)(F)F)c4cnccc14	IC50	11.3	nM
CHEMBL3904969	432.91	5.73	80.37	CC(C)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3ccc(Cl)cc3)c4cnccc14	IC50	11.3	nM
CHEMBL518051	430.95	4.54	98.55	CS(=O)(=O)O.OC(=Nc1cccc(Cl)c1)Nc2ncc(CCN=C3NC=Nc4ccsc34)s2	IC50	12	nM
CHEMBL3913552	564.47	6.49	112.63	CC1(O)CCC(CC1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	12	nM
CHEMBL3661488	439.48	3.63	107.59	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3cc4ccccc4n3)c2)c5cncnc15	IC50	12.4	nM
CHEMBL3675949	325.35	2.31	76.52	NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cccc(F)c4	IC50	12.6	nM
CHEMBL3676016	399.43	0.98	121.41	NCCCNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3C4=CC(=CNC4=O)F	IC50	12.7	nM
CHEMBL3936001	453.84	5	103.89	OC(=N)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	12.87	nM
CHEMBL3659504	337.36	3.16	84.31	C[C@H](Nc1ccc2ncn(c3cc(C)[nH]n3)c2n1)c4ccc(F)cn4	IC50	14	nM
CHEMBL3891579	540.41	4.81	121.86	OCCOCCN=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	14.5	nM
CHEMBL3965236	547.41	5.42	133.97	Cc1nc(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5)n[nH]1	IC50	14.6	nM
CHEMBL3950041	492.48	4.23	89.49	O[C@H]1CCCN(C1)C(=Nc2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5C(F)(F)F)O	IC50	14.6	nM
CHEMBL3921776	496.35	4.79	112.63	OCCN=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	14.63	nM
CHEMBL3661618	480.53	3.51	122.89	CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4cccnc4c3)c2)c5cncnc15	IC50	14.9	nM
CHEMBL3661618	480.53	3.51	122.89	CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4cccnc4c3)c2)c5cncnc15	IC50	14.9	nM
CHEMBL3953376	446.49	4.74	98.19	CC(C)n1cc(C(=O)c2cncc(c2)N=C(O)Cn3cc(cn3)C4CC4)c5cncc(F)c15	IC50	15	nM
CHEMBL3941729	530.95	4.61	123.11	Cn1cc(CN=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5)nn1	IC50	15	nM
CHEMBL3676091	447.47	2.86	97.42	CN1C=C(F)C=C([C@H]2CCCN2c3ccn4ncc(C(=O)Nc5ccc(C)nc5)c4n3)C1=O	IC50	15.9	nM
CHEMBL3952362	516.92	5.47	118.43	OC(=NCc1ocnc1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	16.2	nM
CHEMBL3952570	510.47	4.28	89.49	OC(=Nc1cnc2ccc(nn12)N3CCC[C@H]3c4cc(F)ccc4F)N5CCC(O)(CC5)C(F)(F)F	IC50	16.5	nM
CHEMBL3678302	464.47	4.13	82.29	COc1cc(Cn2cnc3cc(cnc23)C#CCCO)ccc1OCc4ccc(nc4)C(F)F	IC50	17	nM
CHEMBL3954330	484.51	3.78	95.56	CC(C)C(=O)OC1CN(C1)C(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	19.4	nM
CHEMBL3939890	508.37	4.31	100.35	OC1CN(C1)C(=O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	20.4	nM
CHEMBL3661484	440.46	3.96	115.8	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4ocnc4c3)c2)c5cncnc15	IC50	21.7	nM
CHEMBL3661592	444.5	3.86	115.8	CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3coc(n3)C4CC4)c2)c5cncnc15	IC50	22.1	nM
CHEMBL3666421	440.46	4.34	115.8	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3cc4c(C)coc4cn3)c2)c5cncnc15	IC50	22.5	nM
CHEMBL3675945	487.56	1.76	112.8	CS(=O)(=O)N1CCC(CC1)NC(=O)c2cnn3ccc(nc23)N4CCCC4c5cncc(F)c5	IC50	23.95	nM
CHEMBL3965303	519.96	5.32	101.63	OC(=NCC1CCOC1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	24.4	nM
CHEMBL3928888	535.96	4.43	121.86	O[C@H]1CCOC[C@@H]1N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	24.7	nM
CHEMBL3966645	537.41	4.53	127.65	NC1(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5)COC1	IC50	24.9	nM
CHEMBL3913048	527.92	3.78	132.86	OC[C@H](O)CN=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	25	nM
CHEMBL3964274	474.49	4.15	89.49	O[C@H]1CCCN(C1)C(=Nc2cnn3ccc(nc23)N4CCC[C@H]4c5cc(F)ccc5C(F)F)O	IC50	25.7	nM
CHEMBL3902136	446.43	3.37	89.49	OC1CN(C1)C(=Nc2cnn3ccc(nc23)N4CCC[C@H]4c5cc(F)ccc5C(F)F)O	IC50	26.5	nM
CHEMBL2037212	586.62	6.27	92.5	CN1CCN(CC1)c2ccc(cc2C(F)(F)F)C(=O)Nc3cccc(Nc4ccc5\C(=C\c6ccc[nH]6)\C(=O)Nc5c4)c3	IC50	27	nM
CHEMBL1576753	335.37	2.51	95.06	COc1ccccc1\C=C\C(=O)Nc2nc(N)n(n2)c3ccccc3	IC50	27	nM
CHEMBL3913829	564.41	5.87	110.22	Cn1cc(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccc(F)cn4)n(n2)c5ccccc5)cn1	IC50	28.3	nM
CHEMBL3675986	370.39	1.33	95.65	OCCNC(=O)c1cnn2ccc(nc12)N3CCCC3c4cncc(F)c4	IC50	30.9	nM
CHEMBL3671455	449.9	3.77	109.74	CC(C)n1cc(C(=O)C2=CNC(=O)C(=C2)NC(=O)Cc3ccc(Cl)cc3)c4cncnc14	IC50	31.3	nM
CHEMBL3673468	526.6	3.52	114.03	COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)n5cc(nn5)C6CCCNC6)cc2OC)cn1	IC50	32	nM
CHEMBL3673475	499.58	4.4	115.13	CCC(Oc1ccc(Cn2c(N)nc3cc(cnc23)c4cnn(C)c4)cc1OC)c5ccc(OC)nc5	IC50	32	nM
CHEMBL3972242	510.93	4.77	118.42	NCCCN=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	34.2	nM
CHEMBL3958643	521.98	5.44	112.63	CC(C)(O)CCN=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	34.8	nM
CHEMBL3933321	482.46	5.07	100.6	CC(CO)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3ccc(cc3)C(F)(F)F)c4cnccc14	IC50	37	nM
CHEMBL3918645	554.96	5.12	104.43	OC(=NCC1(F)CCNC1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	40.6	nM
CHEMBL3961366	491.91	3.8	100.35	OC1CN(C1)C(=O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	43.7	nM
CHEMBL3666245	439.48	3.27	139.58	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C#N)c2)c4cnc(N)nc14	IC50	45.3	nM
CHEMBL377444	377.88	3.72	93.79	NC(=O)c1c(SCc2ccc(Cl)cc2)nsc1Nc3ccncn3	IC50	47	nM
CHEMBL2037217	582.59	7.03	92.98	Cc1cn(cn1)c2cc(cc(c2)C(F)(F)F)C(=O)Nc3cccc(Nc4ccc5\C(=C\c6cccn6C)\C(=O)Nc5c4)c3	IC50	49	nM
CHEMBL3673466	527.59	3.99	122.24	COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)c5oc(nn5)C6CCNCC6)cc2OC)cn1	IC50	51	nM
CHEMBL3671411	451.43	3.07	110	C[C@@H](CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(F)c(F)c3)c2)c4cncnc14	IC50	51.2	nM
CHEMBL3963650	533.99	5.59	112.63	O[C@@H]1CC[C@H](CC1)N=C(O)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	57.1	nM
CHEMBL3973166	505.94	4.81	112.63	O[C@@H]1C[C@H](C1)N=C(O)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	61.8	nM
CHEMBL3904898	530.95	4.61	123.11	Cn1nncc1CN=C(O)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	62.45	nM
CHEMBL3666340	497.48	4.37	107.59	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3cn(nc3C(F)(F)F)C4CC4)c2)c5cncnc15	IC50	62.6	nM
CHEMBL3661472	454.49	3.7	122.79	COc1cc(CC(=O)Nc2cncc(c2)C(=O)c3cn(C(C)C)c4ncncc34)ccc1C#N	IC50	64.3	nM
CHEMBL3666457	439.48	3.85	107.07	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3cc4cccc(C)n4n3)c2)c5cncnc15	IC50	65	nM
CHEMBL3893107	435.43	4.75	93.26	CC(C)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3ccc(F)cn3)c4cncc(F)c14	IC50	68.4	nM
CHEMBL3928969	673.72	8.65	125.72	Cc1ccc(cc1C)c2ncc(cc2NC(=Nc3cnc(Oc4ccc(cc4)c5cnc(s5)N6CCCCCC6=O)nc3)O)C(F)(F)F	IC50	70	nM
CHEMBL3666400	425.45	3.54	107.07	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3ncc4ccccn34)c2)c5cncnc15	IC50	71.2	nM
CHEMBL3896999	530.95	4.91	133.97	Cc1nc(CN=C(O)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5)n[nH]1	IC50	71.23	nM
CHEMBL3666264	531.47	3.1	130.23	CC(CO)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(F)c(c3)C(F)(F)F)c2)c4cncnc14	IC50	73.6	nM
CHEMBL3936350	487.44	3.29	131.31	CC(C)(CO)n1cc(C(=O)c2cc(ccn2)N=C(O)Cn3cc(nn3)C(F)(F)F)c4cnccc14	IC50	79.3	nM
CHEMBL3929403	492.94	4.63	118.42	C[C@H](CN)N=C(O)c1cc(NC(=O)c2cc(ccc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	79.8	nM
CHEMBL253635	453.59	4.05	78.43	CC(=O)N1CCN(CC1)C(=O)c2cc(Sc3cnc(Nc4ccccn4)s3)ccc2C	IC50	80	nM
CHEMBL3964567	622.76	7.28	130.65	Cc1ccc(cc1C)n2nc(cc2NC(=Nc3cnc(Oc4ccc(cc4)c5cnc(s5)N6CCCC6=O)nc3)O)C(C)(C)C	IC50	80	nM
CHEMBL3666265	499.45	3.03	130.23	CC(CO)(CO)n1cc(C(=O)c2cncc(NC(=O)c3cccc(c3)C(F)(F)F)c2)c4cncnc14	IC50	84.8	nM
CHEMBL3661623	517.47	1.92	148.05	Cc1cc(nn1CC(=O)Nc2cncc(c2)C(=O)c3cn(c4ncncc34)C(C)(CO)CO)C(F)(F)F	IC50	84.9	nM
CHEMBL3949749	504.95	4.6	95.64	CN1CC(C1)N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	86.6	nM
CHEMBL3959127	495.9	3.98	132.86	OCCN=C(O)c1cc(NC(=O)c2cc(ccc2Cl)c3ncccc3F)n(n1)c4cccc(O)c4	IC50	89.12	nM
CHEMBL3978432	416.49	4.34	98.19	CC(C)n1cc(C(=O)c2cncc(c2)N=C(O)Cn3nc(C)cc3C)c4cnccc14	IC50	92.8	nM
CHEMBL3959373	549.01	4.62	104.87	OC(=NCCN1CCOCC1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	93.2	nM
CHEMBL3943906	427.46	2.8	81.29	OC(=Nc1cnc2ccc(nn12)N3CCC[C@H]3c4cc(F)ccc4F)N5CCNCC5	IC50	94.7	nM
CHEMBL3985105	505.94	5.07	101.63	OC(=NCC1CCO1)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	95.4	nM
CHEMBL3920964	455.51	3.58	81.29	CC1CN(CC(C)N1)C(=Nc2cnn3ccc(nc23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	98	nM
